hanzi,pinyin,english
啊,a1,"interjection of surprise
Ah!
Oh!"
把,ba3,"to hold, to grasp"
如果,ru2 guo3,if
只,zhi3,"only, merely"
被,bei4,"by
(indicates passive-voice clauses)"
跟,gen1,with
自己,zi4 ji3,oneself
用,yong4,to use
为什么,wei4 shen2 me5,"why?
for what reason?"
像,xiang4,"to resemble, to be like"
需要,xu1 yao4,"to need, to require"
应该,ying1 gai1,"should, ought to"
才,cai2,"only, just, then and only then
ability, talent"
又,you4,"(once) again, also, both... and..."
拿,na2,"to hold, to seize"
更,geng4,"more, even more"
带,dai4,"to bring, carry
belt, band"
然后,ran2 hou4,"then (afterwards), after that"
一样,yi1 yang4,"same, like, equal to"
当然,dang1 ran2,"of course, certainly"
相信,xiang1 xin4,"to believe, to be convinced (that sth is true)"
明白,ming2 bai5,to understand (clearly)
一直,yi1 zhi2,"straight (in a straight line), continuously, always, from the beginning of ... up to ..., all along,"
地方,di4 fang1,"place, area, local"
离开,li2 kai1,"to depart, to leave,"
一定,yi1 ding4,"surely, certainly, definitely"
还是,hai2 shi5,"or (question)
still (as before)"
发现,fa1 xian4,"to discover, notice, realize, become aware of"
而且,er2 qie3,"(not only ...) but also, moreover, in addition"
认为,ren4 wei2,"to think (that), to consider, to feel, (that a fact is true)"
必须,bi4 xu1,"compulsory, necessarily, must, to have to"
放,fang4,"to put, to place, to let go, to release"
为了,wei4 le5,"in order to, for the purpose of, so as to,"
地,de5,"-ly (structural particle)
used before a verb or adjective, linking it to preceding modifying adverbial adjunct,"
以为,yi3 wei2,"to think (sth is true that isn't), to be under the impression (falsely)"
老,lao3,"old, venerable, experienced (of people)"
位,wei4,"honorific classifier for people
position, place, seat"
先,xian1,"first, early, former"
种,zhong3,"kind, type, species"
其他,qi2 ta1,other (than sth or sb)
记得,ji4 de5,"to remember,"
或者,huo4 zhe3,or (statement)
过去,guo4 qu4,"(in the) past, to go over, to pass by,"
担心,dan1 xin1,"anxious, worried"
条,tiao2,"strip
classifier for long thin things (ribbon, river, road, trousers etc),"
以前,yi3 qian2,"before, previous"
世界,shi4 jie4,world
重要,zhong4 yao4,"important, significant, major"
别人,bie2 ren5,"other people, others"
机会,ji1 hui4,"opportunity, chance"
接,jie1,"to receive, to connect, to catch"
比赛,bi3 sai4,"competition (sports etc), match"
关系,guan1 xi4,"relation, relationship, to have to do with"
马上,ma3 shang4,"at once, right away"
决定,jue2 ding4,"to decide, decision"
关于,guan1 yu2,"pertaining to, concerning, regarding, about"
难,nan2,difficult
了解,liao3 jie3,"to understand, to realize, to find out,"
站,zhan4,"station, bus stop
to stand"
结束,jie2 shu4,"to finish, end, conclude"
清楚,qing1 chu5,"clear, distinct, to be clear about,"
愿意,yuan4 yi4,willing (to do sth)
花,hua1,flower
以后,yi3 hou4,"after, later"
照片,zhao4 pian4,"photograph, picture"
敢,gan3,"to dare, daring"
总是,zong3 shi4,always
参加,can1 jia1,"to participate, to take part"
办法,ban4 fa3,"means, method"
选择,xuan3 ze2,"choice, option, to select"
坏,huai4,"spoiled, broken, bad"
信,xin4,"letter, mail
trust, faith"
出现,chu1 xian4,"to appear, to arise, to emerge, to show up"
打算,da3 suan4,"to plan, to intend, to calculate"
特别,te4 bie2,"special, particular, especially"
注意,zhu4 yi4,"to take note of, to pay attention to"
其实,qi2 shi2,"actually, in fact"
小心,xiao3 xin1,"to be careful, to take care"
久,jiu3,"(long, duration of) time"
马,ma3,horse
讲,jiang3,to speak (lecture or speech)
表演,biao3 yan3,"performance, play, show
to perform, to act"
故事,gu4 shi4,"story, tale"
